                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 2.1583,                 1.3766,                 1.1451,                0.14094,                0.13209,                0.11645,                0.06254,                 2.9151,                  1.909,                 1.3461,               0.007195,               0.007195,               0.007195
                     87,                 2.1564,                  1.386,                 1.1432,                0.14139,                0.13102,                0.11683,                0.06286,                 2.9156,                 1.9065,                 1.3471,               0.007162,               0.007162,               0.007162
                     88,                 2.2022,                  1.393,                 1.1333,                0.13886,                0.13463,                0.11749,                0.06322,                 2.9167,                  1.904,                 1.3478,               0.007129,               0.007129,               0.007129
                     89,                 2.1587,                 1.3794,                  1.151,                0.14589,                0.12758,                0.11772,                0.06319,                 2.9176,                 1.9055,                 1.3484,               0.007096,               0.007096,               0.007096
                     90,                 2.1357,                 1.3584,                 1.1418,                 0.1497,                0.12651,                0.11773,                0.06323,                 2.9182,                 1.9055,                 1.3496,               0.007063,               0.007063,               0.007063
                     91,                 2.1685,                 1.3884,                 1.1417,                0.15042,                0.12645,                0.11771,                0.06333,                 2.9199,                 1.9055,                 1.3498,                0.00703,                0.00703,                0.00703
                     92,                 2.1341,                 1.3487,                 1.1329,                0.14954,                 0.1282,                0.11756,                0.06334,                 2.9207,                 1.9068,                 1.3498,               0.006997,               0.006997,               0.006997
                     93,                 2.1556,                 1.3823,                 1.1298,                0.14619,                0.13085,                0.11764,                0.06346,                 2.9214,                 1.9071,                 1.3506,               0.006964,               0.006964,               0.006964
                     94,                   2.15,                 1.3485,                 1.1481,                 0.1443,                0.13305,                0.11782,                0.06355,                 2.9214,                 1.9087,                 1.3508,               0.006931,               0.006931,               0.006931
                     95,                 2.1265,                 1.3442,                 1.1372,                0.14415,                0.13248,                0.11784,                0.06349,                 2.9233,                 1.9086,                 1.3515,               0.006898,               0.006898,               0.006898
                     96,                  2.168,                 1.3708,                 1.1429,                0.14769,                0.13017,                0.11804,                0.06369,                 2.9239,                 1.9081,                 1.3519,               0.006865,               0.006865,               0.006865
                     97,                 2.1405,                 1.3567,                 1.1351,                0.14843,                0.12967,                0.11836,                0.06399,                 2.9238,                 1.9074,                 1.3523,               0.006832,               0.006832,               0.006832
                     98,                 2.1553,                 1.3469,                 1.1156,                0.14976,                0.12955,                0.11889,                0.06422,                 2.9243,                 1.9083,                 1.3526,               0.006799,               0.006799,               0.006799
                     99,                 2.1641,                 1.3612,                  1.121,                0.15034,                0.12848,                 0.1192,                0.06441,                  2.924,                 1.9067,                 1.3524,               0.006766,               0.006766,               0.006766
                    100,                 2.1508,                 1.3587,                 1.1354,                0.15074,                0.12792,                 0.1193,                0.06444,                 2.9244,                 1.9086,                 1.3529,               0.006733,               0.006733,               0.006733
                    101,                 2.1501,                 1.3238,                 1.1527,                0.15113,                0.12741,                0.11912,                0.06442,                 2.9249,                 1.9098,                 1.3537,                 0.0067,                 0.0067,                 0.0067
                    102,                 2.1255,                 1.3274,                 1.1196,                0.15134,                0.12707,                0.11916,                0.06451,                 2.9253,                 1.9109,                 1.3535,               0.006667,               0.006667,               0.006667
                    103,                  2.105,                 1.3189,                 1.1356,                0.15037,                0.12871,                0.11948,                0.06457,                 2.9252,                 1.9115,                 1.3539,               0.006634,               0.006634,               0.006634
                    104,                 2.1044,                 1.3111,                 1.1128,                0.15195,                0.12645,                0.11945,                0.06456,                 2.9261,                 1.9108,                 1.3548,               0.006601,               0.006601,               0.006601
                    105,                 2.1473,                  1.309,                 1.1214,                0.15281,                0.12651,                0.11972,                0.06477,                 2.9268,                 1.9114,                 1.3555,               0.006568,               0.006568,               0.006568
                    106,                 2.1311,                 1.3219,                 1.1107,                0.15429,                0.12561,                0.11995,                0.06488,                  2.927,                  1.911,                 1.3553,               0.006535,               0.006535,               0.006535
                    107,                 2.1474,                  1.328,                  1.108,                0.15359,                0.12628,                0.11994,                0.06496,                 2.9269,                 1.9111,                 1.3559,               0.006502,               0.006502,               0.006502
                    108,                 2.1143,                 1.2978,                 1.1116,                 0.1529,                0.12728,                0.11997,                0.06499,                 2.9271,                  1.912,                 1.3561,               0.006469,               0.006469,               0.006469
                    109,                    2.1,                    1.3,                 1.1104,                0.15052,                0.12904,                0.12007,                0.06495,                 2.9268,                 1.9123,                 1.3562,               0.006436,               0.006436,               0.006436
                    110,                 2.1608,                 1.3104,                 1.1074,                0.15058,                0.12904,                0.11996,                0.06502,                 2.9267,                  1.913,                 1.3565,               0.006403,               0.006403,               0.006403
                    111,                 2.1286,                 1.3027,                 1.0941,                 0.1537,                0.12707,                0.12026,                0.06513,                 2.9277,                 1.9133,                 1.3575,                0.00637,                0.00637,                0.00637
                    112,                 2.1237,                 1.3131,                 1.1211,                0.15487,                0.12662,                0.12021,                0.06521,                 2.9278,                 1.9136,                 1.3577,               0.006337,               0.006337,               0.006337
                    113,                 2.0568,                 1.2739,                 1.1054,                0.15462,                0.12679,                0.12039,                0.06533,                 2.9287,                 1.9129,                  1.358,               0.006304,               0.006304,               0.006304
                    114,                 2.1595,                 1.3029,                 1.0898,                0.16028,                0.12194,                0.12074,                0.06553,                 2.9287,                 1.9132,                 1.3582,               0.006271,               0.006271,               0.006271
                    115,                 2.1181,                 1.3067,                  1.116,                0.15574,                0.12645,                0.12086,                0.06559,                 2.9293,                 1.9132,                 1.3588,               0.006238,               0.006238,               0.006238
                    116,                 2.0914,                 1.2893,                 1.0978,                0.16076,                0.12301,                0.12071,                0.06546,                 2.9292,                 1.9137,                 1.3587,               0.006205,               0.006205,               0.006205
                    117,                 2.1008,                 1.2882,                 1.1096,                0.16023,                0.12296,                0.12067,                0.06551,                 2.9295,                 1.9149,                 1.3589,               0.006172,               0.006172,               0.006172
                    118,                 2.0993,                 1.2802,                 1.1073,                0.15709,                0.12493,                0.12085,                0.06559,                 2.9295,                 1.9151,                 1.3593,               0.006139,               0.006139,               0.006139
